,RMSE,latent dimentions,lambda,learning rate,epochs
185,1.4866045942212878,500,0.001,0.01,750
186,0.9511586471278244,500,0.001,0.001,250
187,0.9505321300306605,500,0.001,0.001,500
188,0.9507081907753464,500,0.001,0.001,750
189,0.9283848303343223,500,0.001,0.0001,250
190,0.9450093439955712,500,0.001,0.0001,500
191,0.9470762246730307,500,0.001,0.0001,750
192,0.98881011344825,500,0.1,0.1,250
193,0.9948914115378915,500,0.1,0.1,500
194,0.9884555930990014,500,0.1,0.1,750
195,1.094865096037192,500,0.1,0.01,250
196,1.073013678943247,500,0.1,0.01,500
197,1.0740342134728784,500,0.1,0.01,750
198,0.8824866469637691,500,0.1,0.001,250
